,Location,Price,Sqft,Bath,Bed,Street,zipcode,kmeans
139,"6107 Mountain Villa Dr, Austin, TX 78731",2100000,4000,4,5,6107 Mountain Villa Dr,78731,6
140,"8411 Galeana Trace Cv, Austin, TX 78733",3000000,4609,5,5,8411 Galeana Trace Cv,78733,0
141,"9636 Chukar Cir, Austin, TX 78758",600000,1489,2,3,9636 Chukar Cir,78758,1
142,"11007 Spear Oak Cv, Austin, TX 78759",899000,2428,3,4,11007 Spear Oak Cv,78759,2
143,"14104 Luisium Vw #69, Pflugerville, TX 78660",425000,1859,3,3,14104 Luisium Vw #69,78660,8
144,"5512 Joe Sayers Ave, Austin, TX 78756",300000,576,1,2,5512 Joe Sayers Ave,78756,5
145,"14406 Varrelman St, Austin, TX 78725",285000,1278,1,3,14406 Varrelman St,78725,1
146,"2800 Waymaker Way UNIT 44, Austin, TX 78746",1200000,3231,3,4,2800 Waymaker Way UNIT 44,78746,2
147,"9312 Eddystone St, Austin, TX 78729",500000,1659,2,3,9312 Eddystone St,78729,1
148,"14020 Skyline Dr, Austin, TX 78732",795000,2318,2,3,14020 Skyline Dr,78732,1
149,"6616 Argentia Rd, Austin, TX 78757",1500000,2957,3,4,6616 Argentia Rd,78757,2
150,"4212 Mocha Trl, Austin, TX 78728",425000,1709,2,3,4212 Mocha Trl,78728,1
151,"4903 Creekline Dr, Austin, TX 78745",649000,1916,3,4,4903 Creekline Dr,78745,2
152,"5411 Prock Ln, Austin, TX 78721",850000,1992,3,3,5411 Prock Ln,78721,8
153,"10005 Oak Hollow Dr, Austin, TX 78758",585000,1890,2,4,10005 Oak Hollow Dr,78758,2
154,"500 Heartwood Dr, Austin, TX 78745",550000,1352,2,3,500 Heartwood Dr,78745,1
155,"9421 Edmundsbury Dr, Austin, TX 78747",370000,1788,3,3,9421 Edmundsbury Dr,78747,8
156,"3521 Savage Springs Dr, Austin, TX 78754",370000,2569,3,5,3521 Savage Springs Dr,78754,6
157,"7203 Bennett Ave, Austin, TX 78752",378000,1642,2,4,7203 Bennett Ave,78752,2
158,"16216 Old Baldy Dr, Austin, TX 78717",875000,3357,4,4,16216 Old Baldy Dr,78717,7
159,"2800 Waymaker Way UNIT 56, Austin, TX 78746",997000,2882,3,4,2800 Waymaker Way UNIT 56,78746,2
160,"5502 Porsche Ln, Austin, TX 78749",540000,1352,2,3,5502 Porsche Ln,78749,1
161,"1314 Piedmont Ave, Austin, TX 78757",1495000,2491,3,4,1314 Piedmont Ave,78757,2
162,"4500 Hibiscus Valley Dr, Austin, TX 78739",699950,2226,2,4,4500 Hibiscus Valley Dr,78739,2
163,"7505 Wynne Ln #3, Austin, TX 78745",699000,1600,3,3,7505 Wynne Ln #3,78745,8
164,"7304 Saffron St, Austin, TX 78749",649900,1507,2,4,7304 Saffron St,78749,2
165,"2203 Red Fox Rd, Austin, TX 78734",369000,1040,2,3,2203 Red Fox Rd,78734,1
166,"16102 Agua Vis, Austin, TX 78734",550000,1200,2,3,16102 Agua Vis,78734,1
167,"1810 Pompton Dr, Austin, TX 78757",649000,1596,2,4,1810 Pompton Dr,78757,2
168,"16924 Whitebrush Loop, Austin, TX 78717",359000,1429,2,3,16924 Whitebrush Loop,78717,1
169,"15203-5603 Purple Sage Dr, Austin, TX 78724",499900,1820,2,3,15203-5603 Purple Sage Dr,78724,1
171,"7705 Banpass Ln, Austin, TX 78736",445000,1613,3,3,7705 Banpass Ln,78736,8
172,"9824 Ivalenes Hope Dr, Austin, TX 78717",799000,2554,4,4,9824 Ivalenes Hope Dr,78717,7
173,"7505 Wynne Ln #4, Austin, TX 78745",499000,940,3,2,7505 Wynne Ln #4,78745,5
174,"800 Cedar Gln, Austin, TX 78745",549500,1952,2,3,800 Cedar Gln,78745,1
175,"416 Kissing Oak Dr, Austin, TX 78748",550000,3079,3,3,416 Kissing Oak Dr,78748,8
176,"405 Primrose St, Austin, TX 78753",326000,1482,2,2,405 Primrose St,78753,5
177,"5805 Cary Dr, Austin, TX 78757",1525000,2314,3,4,5805 Cary Dr,78757,2
178,"6222 Thurgood Ave, Austin, TX 78721",520000,1564,2,4,6222 Thurgood Ave,78721,2
179,"5705 Highland Hills Dr, Austin, TX 78731",1100000,1612,2,3,5705 Highland Hills Dr,78731,1
180,"1704 Hartford Rd, Austin, TX 78703",1195000,1491,2,3,1704 Hartford Rd,78703,1
181,"5620 Sedona Dr, Austin, TX 78759",1150000,3069,4,3,5620 Sedona Dr,78759,8
182,"10107 Erwin Trl #36, Austin, TX 78717",729000,2769,4,4,10107 Erwin Trl #36,78717,7
183,"11309 Blackmoor Dr, Austin, TX 78759",739000,2116,3,4,11309 Blackmoor Dr,78759,2
184,"8313 Summer Place Dr, Austin, TX 78759",525000,1340,2,2,8313 Summer Place Dr,78759,5
185,"7500 Uray Dr, Austin, TX 78724",429900,1303,2,3,7500 Uray Dr,78724,1
186,"5808 Chesterfield Ave, Austin, TX 78752",550000,1028,1,3,5808 Chesterfield Ave,78752,1
187,"3105 Robinson Ave, Austin, TX 78722",985000,2450,3,3,3105 Robinson Ave,78722,8
188,"11540 Arbroath Ln, Austin, TX 78754",490000,2710,3,4,11540 Arbroath Ln,78754,2
189,"11501 Ruffed Grouse Dr, Austin, TX 78758",525000,1348,2,3,11501 Ruffed Grouse Dr,78758,1
191,"2001 Faro Dr APT 28, Austin, TX 78741",499500,1604,3,3,2001 Faro Dr APT 28,78741,8
192,"2206 La Casa Dr, Austin, TX 78704",899000,885,1,2,2206 La Casa Dr,78704,5
193,"10410 Quail Ridge Dr, Austin, TX 78758",525000,1330,2,3,10410 Quail Ridge Dr,78758,1
194,"9804 Big View Dr, Austin, TX 78730",1375000,3610,4,4,9804 Big View Dr,78730,7
195,"5303 Mulberry Grove Ln, Austin, TX 78723",619900,1938,3,3,5303 Mulberry Grove Ln,78723,8
196,"909 Lipan Trl, Austin, TX 78733",849000,1896,2,3,909 Lipan Trl,78733,1
197,"6905 Crestone Rd, Austin, TX 78744",360000,1220,2,3,6905 Crestone Rd,78744,1
198,"1005 Alegria Rd, Austin, TX 78757",725000,1621,2,4,1005 Alegria Rd,78757,2
199,"1110 Byers Ln, Austin, TX 78753",360000,1346,1,3,1110 Byers Ln,78753,1
200,"558 Call Dr, Austin, TX 78737",1695990,4301,5,5,558 Call Dr,78737,0
201,"14516 Ballycastle Trl, Austin, TX 78717",445000,1583,3,3,14516 Ballycastle Trl,78717,8
202,"12308 Palisades Pkwy, Austin, TX 78732",950000,3426,4,5,12308 Palisades Pkwy,78732,6
203,"6808 Cornish Hen Ln, Austin, TX 78747",349000,1665,3,3,6808 Cornish Hen Ln,78747,8
204,"1901 Casa Grande Dr, Austin, TX 78733",639000,1470,2,3,1901 Casa Grande Dr,78733,1
205,"2301 Rundell Pl, Austin, TX 78704",2250000,2302,4,3,2301 Rundell Pl,78704,8
206,"7862 Lakewood Dr, Austin, TX 78750",1245000,2566,2,4,7862 Lakewood Dr,78750,2
207,"1100 Clayton Ln, Austin, TX 78723",475000,1116,2,3,1100 Clayton Ln,78723,1
208,"4307 Island Ave, Austin, TX 78731",6995000,5262,7,5,4307 Island Ave,78731,3
209,"6415 Yaupon Dr, Austin, TX 78759",850000,2847,3,4,6415 Yaupon Dr,78759,2
210,"2715 Mountain Laurel Ln, Austin, TX 78703",1600000,2282,2,3,2715 Mountain Laurel Ln,78703,1
211,"4900 Amarra Dr, Austin, TX 78735",5999000,6013,6,4,4900 Amarra Dr,78735,0
212,"7800 Parliament Pl, Austin, TX 78759",525000,1544,2,3,7800 Parliament Pl,78759,1
213,"2010 Cervin Blvd, Austin, TX 78728",430000,1907,2,3,2010 Cervin Blvd,78728,1
214,"9001 Deer Shadow Pass, Austin, TX 78733",2453750,3759,4,4,9001 Deer Shadow Pass,78733,7
215,"11529 Autumn Ash Dr, Manchaca, TX 78652",420000,1714,3,4,11529 Autumn Ash Dr,78652,2
216,"5505 Gloucester Ln, Austin, TX 78723",775000,1625,2,3,5505 Gloucester Ln,78723,1
218,"901 Wayside Dr, Austin, TX 78703",3995000,3642,4,6,901 Wayside Dr,78703,6
219,"5302 Middale Ln, Austin, TX 78723",525000,1051,1,3,5302 Middale Ln,78723,1
220,"2005 Uphill Ln #B, Austin, TX 78741",615000,1774,4,3,2005 Uphill Ln #B,78741,8
221,"404 Mirafield Ln, Austin, TX 78737",1249000,3795,6,5,404 Mirafield Ln,78737,0
222,"2325 Bitter Creek Dr, Austin, TX 78744",345000,1000,2,3,2325 Bitter Creek Dr,78744,1
223,"5800 Mojave Dr, Austin, TX 78745",599000,1589,2,3,5800 Mojave Dr,78745,1
224,"609 Horseback Holw, Austin, TX 78732",1300000,4410,4,4,609 Horseback Holw,78732,7
225,"109 Autumn Wood Ln, Austin, TX 78737",549000,1885,2,3,109 Autumn Wood Ln,78737,1
226,"3407 Northwood Cir, Austin, TX 78703",8270000,4659,4,4,3407 Northwood Cir,78703,7
227,"211 Costa Bella Dr, Austin, TX 78734",7950000,9261,8,6,211 Costa Bella Dr,78734,3
228,"14222 Handel Dr UNIT 7A, Pflugerville, TX 78660",319000,1443,2,2,14222 Handel Dr UNIT 7A,78660,5
229,"1634 Cattle Trl, Austin, TX 78748",579000,1345,2,3,1634 Cattle Trl,78748,1
230,"601 Sandringham Cir, Austin, TX 78704",1800000,1745,2,3,601 Sandringham Cir,78704,1
231,"506 Treys Way, Austin, TX 78745",416000,902,2,3,506 Treys Way,78745,1
232,"8204 Endeavor Cir, Austin, TX 78726",1150000,3782,4,5,8204 Endeavor Cir,78726,6
233,"4706 Red Stone Ct, Austin, TX 78735",825000,2180,2,3,4706 Red Stone Ct,78735,1
234,"613 Twelve Oaks Ln, Austin, TX 78704",849000,1971,3,3,613 Twelve Oaks Ln,78704,8
235,"2502 Berwyn Cir, Austin, TX 78745",476000,1486,2,3,2502 Berwyn Cir,78745,1
236,"2012 Oxford Ave, Austin, TX 78704",2450000,2524,3,4,2012 Oxford Ave,78704,2
237,"4007 Independent Way, Austin, TX 78731",2933760,4122,5,5,4007 Independent Way,78731,0
238,"15703 De Peer Ave, Austin, TX 78717",450000,1833,3,4,15703 De Peer Ave,78717,2
239,"2006 Covered Wagon Pass, Austin, TX 78744",424900,1200,2,3,2006 Covered Wagon Pass,78744,1
240,"1408 S Meadows Dr, Austin, TX 78758",599900,3022,4,5,1408 S Meadows Dr,78758,6
241,"5804 J F K Dr, Austin, TX 78724",300000,1225,2,2,5804 J F K Dr,78724,5
242,"6910 Rufus Dr, Austin, TX 78752",649000,1654,2,4,6910 Rufus Dr,78752,2
243,"2003 Sharon Ln, Austin, TX 78703",8000000,5520,7,6,2003 Sharon Ln,78703,3
244,"6717 Oasis Pass, Austin, TX 78732",6500000,6843,7,4,6717 Oasis Pass,78732,3
245,"3901 Licorice Ln, Austin, TX 78728",475000,1837,2,3,3901 Licorice Ln,78728,1
246,"1711 Mohle Dr, Austin, TX 78703",2499000,3153,5,5,1711 Mohle Dr,78703,6
247,"9301 Elm Grove Cir, Austin, TX 78736",789000,2110,2,4,9301 Elm Grove Cir,78736,2
248,"6105 Bullard Dr APT A, Austin, TX 78757",495000,1680,3,3,6105 Bullard Dr APT A,78757,8
249,"7209 Magenta Ln, Austin, TX 78739",1450000,4075,5,5,7209 Magenta Ln,78739,0
250,"8608 Tallwood Dr, Austin, TX 78759",1200000,1956,3,4,8608 Tallwood Dr,78759,2
251,"15205 Wallaby Way, Austin, TX 78728",470504,1494,2,3,15205 Wallaby Way,78728,1
252,"10613 La Plata Cv, Austin, TX 78737",1199988,2971,4,5,10613 La Plata Cv,78737,6
253,"8106 Colony Loop Dr, Austin, TX 78724",399000,1295,2,4,8106 Colony Loop Dr,78724,2
254,"2208 E 18th St #B, Austin, TX 78702",489000,668,1,2,2208 E 18th St #B,78702,5
255,"5010 Lake View Dr, Austin, TX 78732",1995000,1204,2,2,5010 Lake View Dr,78732,5
256,"7300 Coit Rd, Austin, TX 78744",549500,1925,2,4,7300 Coit Rd,78744,2
257,"4004 Avenue B, Austin, TX 78751",650000,984,1,2,4004 Avenue B,78751,5
258,"15207 Kookaburra Path #104, Austin, TX 78728",555500,2508,3,4,15207 Kookaburra Path #104,78728,2
259,"8113 Raintree Pl, Austin, TX 78759",699000,1889,2,3,8113 Raintree Pl,78759,1
260,"1101 Arcadia Ave, Austin, TX 78757",619000,1305,2,3,1101 Arcadia Ave,78757,1
261,"5752 N Scout Island Cir, Austin, TX 78731",545000,1592,2,3,5752 N Scout Island Cir,78731,1
262,"2201 Zach Scott St, Austin, TX 78723",739500,1812,3,2,2201 Zach Scott St,78723,5
265,"502 E Live Oak St, Austin, TX 78704",2475000,3412,4,4,502 E Live Oak St,78704,7
266,"11522 Shakespearean Way, Austin, TX 78759",850000,2155,3,4,11522 Shakespearean Way,78759,2
267,"2008 Kinney Ave, Austin, TX 78704",3295000,3025,3,4,2008 Kinney Ave,78704,2
268,"506 W 51st St #B, Austin, TX 78751",479000,993,1,2,506 W 51st St #B,78751,5
269,"1704 Timberwood Dr, Austin, TX 78741",395000,1491,3,3,1704 Timberwood Dr,78741,8
270,"3707 Counselor Dr, Austin, TX 78749",450000,1454,3,3,3707 Counselor Dr,78749,8
271,"14208 Vandever St, Austin, TX 78725",319000,1347,2,3,14208 Vandever St,78725,1
272,"1706 Palo Duro Rd, Austin, TX 78757",530000,1176,2,3,1706 Palo Duro Rd,78757,1
275,"5607 Overbrook Dr, Austin, TX 78723",350000,1032,1,2,5607 Overbrook Dr,78723,5
276,"2620 Choctaw Trl, Austin, TX 78745",575000,2245,2,4,2620 Choctaw Trl,78745,2
277,"2107 Garden St, Austin, TX 78702",1950000,2119,4,3,2107 Garden St,78702,8
278,"10727 Cassia Dr, Austin, TX 78759",1399900,3332,4,4,10727 Cassia Dr,78759,7
279,"7913 W Rim Dr, Austin, TX 78731",2300000,3974,6,5,7913 W Rim Dr,78731,0
280,"3636 Turkey Creek Dr, Austin, TX 78730",1499999,4863,5,4,3636 Turkey Creek Dr,78730,7
281,"12811 River Bnd, Austin, TX 78732",5500000,6000,8,6,12811 River Bnd,78732,3
282,"208 Bella Riva Dr, Austin, TX 78734",3550000,10306,9,7,208 Bella Riva Dr,78734,4
284,"7849 Escala Dr, Austin, TX 78735",9999000,8549,7,5,7849 Escala Dr,78735,3
285,"5702 Cherry Cv, Austin, TX 78745",585000,1509,3,3,5702 Cherry Cv,78745,8
287,"610 Harthan St, Austin, TX 78703",5995000,3681,4,4,610 Harthan St,78703,7
288,"6501 Danwood Dr, Austin, TX 78759",639000,1748,2,3,6501 Danwood Dr,78759,1
289,"120 Frederick St, Austin, TX 78704",599000,1014,2,2,120 Frederick St,78704,5
290,"3709 Indian Point Dr, Austin, TX 78739",695000,2458,2,4,3709 Indian Point Dr,78739,2
291,"1702 Cherry Orchard Dr, Austin, TX 78745",375000,910,1,3,1702 Cherry Orchard Dr,78745,1
292,"208 W 45th St, Austin, TX 78751",599900,1032,2,2,208 W 45th St,78751,5
293,"13141 Coriander Dr, Austin, TX 78729",1000000,3535,4,4,13141 Coriander Dr,78729,7
294,"4310 Stromquist St, Austin, TX 78723",925000,1964,3,3,4310 Stromquist St,78723,8
295,"4902 Savorey Ln, Austin, TX 78744",350000,1488,2,4,4902 Savorey Ln,78744,2
296,"10517 Big Thicket Dr, Austin, TX 78747",560000,2601,3,5,10517 Big Thicket Dr,78747,6
297,"1807 Rockmoor Ave, Austin, TX 78703",1750000,2333,2,3,1807 Rockmoor Ave,78703,1
298,"3505 Breckenridge Dr, Austin, TX 78744",375000,1220,2,3,3505 Breckenridge Dr,78744,1
299,"8509 Honeysuckle Trl, Austin, TX 78759",1200000,2097,3,4,8509 Honeysuckle Trl,78759,2
300,"910 W Elizabeth St, Austin, TX 78704",3395000,3051,5,4,910 W Elizabeth St,78704,7
301,"1101 Silverton Ct, Austin, TX 78753",375000,1328,3,3,1101 Silverton Ct,78753,8
302,"2803 Townes Ln, Austin, TX 78703",3950000,4408,4,4,2803 Townes Ln,78703,7
303,"6001 Hood Holw, Austin, TX 78731",1999000,5427,6,5,6001 Hood Holw,78731,0
304,"5202 Kite Tail Dr, Austin, TX 78730",899000,3011,3,4,5202 Kite Tail Dr,78730,2
305,"150 Maeves Way, Austin, TX 78737",624000,2328,2,4,150 Maeves Way,78737,2
306,"8536 Red Willow Dr, Austin, TX 78736",465000,1580,3,3,8536 Red Willow Dr,78736,8
307,"1142 Garland Ave, Austin, TX 78721",350000,960,1,3,1142 Garland Ave,78721,1
308,"14624 Flat Top Ranch Rd, Austin, TX 78732",7200000,7740,8,6,14624 Flat Top Ranch Rd,78732,3
309,"3300 Bratton Ridge Xing, Austin, TX 78728",444000,2003,3,4,3300 Bratton Ridge Xing,78728,2
310,"12819 Magnolia Mound Trl, Austin, TX 78727",339000,1034,2,2,12819 Magnolia Mound Trl,78727,5
311,"1201 Verdant Way, Austin, TX 78746",3750000,4390,4,5,1201 Verdant Way,78746,6
312,"3308 Ferguson Ln, Austin, TX 78754",550000,2263,2,4,3308 Ferguson Ln,78754,2
313,"1401 Holly St #2, Austin, TX 78702",899000,1100,3,2,1401 Holly St #2,78702,5
314,"6413 Magenta Ln, Austin, TX 78739",1099000,3873,4,5,6413 Magenta Ln,78739,6
315,"5200 Keene Cv, Austin, TX 78730",725000,2121,2,4,5200 Keene Cv,78730,2
316,"404 W Croslin St, Austin, TX 78752",400000,1525,2,4,404 W Croslin St,78752,2
317,"13613 Oystercatcher Dr, Austin, TX 78729",465000,1916,3,4,13613 Oystercatcher Dr,78729,2
318,"7104 Poulain Dr, Austin, TX 78738",599900,2281,3,3,7104 Poulain Dr,78738,8
319,"9904 Richelieu Rd, Austin, TX 78750",775000,2130,2,4,9904 Richelieu Rd,78750,2
320,"10940 Colonel Winn Loop, Austin, TX 78748",435940,1922,2,4,10940 Colonel Winn Loop,78748,2
321,"4800 Mirador Dr, Austin, TX 78735",5950000,7800,9,8,4800 Mirador Dr,78735,4
322,"116 Navigator Dr, Austin, TX 78717",567500,1996,2,3,116 Navigator Dr,78717,1
323,"3100 Crowheart Cv, Austin, TX 78746",1850000,3927,4,4,3100 Crowheart Cv,78746,7
324,"7503 Harmony Shoals Bnd, Austin, TX 78744",399990,1495,3,2,7503 Harmony Shoals Bnd,78744,5
325,"6201 Tara Dr, Austin, TX 78744",375000,1633,2,3,6201 Tara Dr,78744,1
326,"10902 Twisted Elm Dr, Austin, TX 78726",895000,3155,4,4,10902 Twisted Elm Dr,78726,7
327,"4604 Peach Grove Rd, Austin, TX 78744",425000,2308,3,3,4604 Peach Grove Rd,78744,8
328,"8004 Two Coves Dr, Austin, TX 78730",5950000,5597,6,8,8004 Two Coves Dr,78730,4
329,"4704 Crest Oak Rd, Austin, TX 78744",320000,1050,1,3,4704 Crest Oak Rd,78744,1
330,"4802 Turnstone Dr, Austin, TX 78744",325000,1045,1,2,4802 Turnstone Dr,78744,5
331,"3145 Burks Ln, Austin, TX 78732",634999,2361,3,4,3145 Burks Ln,78732,2
332,"1001 E Applegate Dr, Austin, TX 78753",449999,1856,2,3,1001 E Applegate Dr,78753,1
333,"4407 Ganymede Dr, Austin, TX 78727",599000,2094,2,4,4407 Ganymede Dr,78727,2
334,"5903 Lost Horizon Dr, Austin, TX 78759",850000,2677,3,3,5903 Lost Horizon Dr,78759,8
335,"7805 Lowdes Dr, Austin, TX 78745",674900,1754,2,3,7805 Lowdes Dr,78745,1
336,"9207 Brents Elm Dr, Austin, TX 78744",425000,1574,2,3,9207 Brents Elm Dr,78744,1
337,"17716 Flowing Brook Dr, Austin, TX 78738",749000,2324,3,3,17716 Flowing Brook Dr,78738,8
338,"9612 Tavares Cv, Austin, TX 78733",3995000,7700,7,6,9612 Tavares Cv,78733,3
339,"4706 Carsonhill Dr, Austin, TX 78723",509000,1620,2,4,4706 Carsonhill Dr,78723,2
340,"4904 Summerset Trl, Austin, TX 78749",650000,1845,2,4,4904 Summerset Trl,78749,2
341,"11012 Short Springs Dr, Austin, TX 78754",359000,1378,2,3,11012 Short Springs Dr,78754,1
343,"4505 Nixon Ln, Austin, TX 78725",500000,1608,2,3,4505 Nixon Ln,78725,1
344,"5510 Chadwyck Dr, Austin, TX 78723",690000,2183,3,4,5510 Chadwyck Dr,78723,2
345,"6902 Lost Valley, Austin, TX 78745",725000,2290,3,5,6902 Lost Valley,78745,6
346,"7201 Beckett Rd, Austin, TX 78749",579850,1633,2,3,7201 Beckett Rd,78749,1
347,"4709 Frontier Trl, Austin, TX 78745",670000,1933,2,4,4709 Frontier Trl,78745,2
348,"5210 Langwood Dr, Austin, TX 78754",295000,1364,2,2,5210 Langwood Dr,78754,5
349,"8508 Bargamin Dr, Austin, TX 78736",585000,2231,3,4,8508 Bargamin Dr,78736,2
350,"12233 Forsythe Dr, Austin, TX 78759",449000,1452,2,3,12233 Forsythe Dr,78759,1
351,"13301 Mansfield Dr, Austin, TX 78732",1260000,3706,4,5,13301 Mansfield Dr,78732,6
352,"2409 Montague St, Austin, TX 78741",570000,1850,3,3,2409 Montague St,78741,8
353,"2000 Tillotson Ave, Austin, TX 78702",765000,916,1,3,2000 Tillotson Ave,78702,1
354,"5702 Link Ave, Austin, TX 78752",555000,1625,2,3,5702 Link Ave,78752,1
