,Location,Price,Sqft,Bath,Bed,Street,zipcode
547,"11407 Eddie Egan Ln, Austin, TX 78748",435000.0,1422,3,3,11407 Eddie Egan Ln, 78748
548,"11429 Mordred Ct, Austin, TX 78739",749500.0,2364,2,3,11429 Mordred Ct, 78739
549,"5700 Wilder Rdg, Austin, TX 78759",1095000.0,3017,3,4,5700 Wilder Rdg, 78759
550,"5404 Ingersoll Ln, Austin, TX 78744",415000.0,1297,2,3,5404 Ingersoll Ln, 78744
551,"280 Abbey Dr, Austin, TX 78737",624999.0,2430,2,4,280 Abbey Dr, 78737
552,"8707 Azalea Trl, Austin, TX 78759",1279000.0,2462,3,3,8707 Azalea Trl, 78759
553,"4801 Senora Creek Ct, Austin, TX 78735",960000.0,2797,3,4,4801 Senora Creek Ct, 78735
554,"621 Mairo St, Austin, TX 78748",480000.0,2054,4,5,621 Mairo St, 78748
555,"3807 Hyridge Dr, Austin, TX 78759",1575000.0,2475,3,4,3807 Hyridge Dr, 78759
556,"1700 W 32nd St, Austin, TX 78703",3750000.0,3575,6,5,1700 W 32nd St, 78703
557,"241 Venice Cv, Austin, TX 78737",849900.0,3421,4,5,241 Venice Cv, 78737
558,"609 Clifford Dr #1, Austin, TX 78745",997000.0,2615,3,4,609 Clifford Dr #1, 78745
559,"5913 Sunshine Dr, Austin, TX 78757",775000.0,1554,2,4,5913 Sunshine Dr, 78757
560,"9414 S Chisholm Trl, Austin, TX 78748",475000.0,1916,2,4,9414 S Chisholm Trl, 78748
561,"11108 Bruneau Trl, Austin, TX 78754",495000.0,2347,3,4,11108 Bruneau Trl, 78754
562,"7506 Arboleda Cv, Austin, TX 78745",524900.0,2020,2,3,7506 Arboleda Cv, 78745
563,"4616 Hank Ave, Austin, TX 78745",495000.0,766,1,2,4616 Hank Ave, 78745
564,"3922 Knollwood Dr, Austin, TX 78731",1325000.0,2668,3,4,3922 Knollwood Dr, 78731
565,"5508 Cordell Ln, Austin, TX 78723",599000.0,1577,2,3,5508 Cordell Ln, 78723
566,"7001 Woodhue Dr #A, Austin, TX 78745",475000.0,1043,2,2,7001 Woodhue Dr #A, 78745
567,"3209 Rustic River Cv, Austin, TX 78746",2750000.0,7000,6,6,3209 Rustic River Cv, 78746
568,"1205 McKinley Ave, Austin, TX 78702",990000.0,1958,2,3,1205 McKinley Ave, 78702
569,"2407 Coral Ridge Cir, Austin, TX 78747",599000.0,2284,2,3,2407 Coral Ridge Cir, 78747
570,"296 Jacksdaw Dr, Austin, TX 78737",1295000.0,4162,5,5,296 Jacksdaw Dr, 78737
571,"9624 Newfoundland Cir, Austin, TX 78758",599000.0,1698,2,3,9624 Newfoundland Cir, 78758
572,"12408 Granton Cv, Austin, TX 78754",382500.0,1856,3,3,12408 Granton Cv, 78754
573,"5211 Emerald Meadow Dr, Austin, TX 78745",525000.0,1368,2,3,5211 Emerald Meadow Dr, 78745
574,"4418 Mount Vernon Dr #A, Austin, TX 78745",975000.0,2003,3,3,4418 Mount Vernon Dr #A, 78745
575,"11200 Kirkland Hill Path, Austin, TX 78754",386000.0,1647,2,3,11200 Kirkland Hill Path, 78754
576,"11609 Queens Way, Austin, TX 78759",729000.0,2286,2,4,11609 Queens Way, 78759
577,"166 Indian Grass Cv, Austin, TX 78737",898000.0,3204,3,3,166 Indian Grass Cv, 78737
578,"1105 Castile Rd, Austin, TX 78733",2300000.0,4132,4,4,1105 Castile Rd, 78733
580,"2801 Bonnie Rd, Austin, TX 78703",4000000.0,4621,5,4,2801 Bonnie Rd, 78703
581,"10005 Nocturne Cv, Austin, TX 78750",800000.0,2250,2,3,10005 Nocturne Cv, 78750
582,"9010 Jodie Ln, Austin, TX 78748",595000.0,2596,3,4,9010 Jodie Ln, 78748
583,"6203 Langham St #2, Austin, TX 78741",485000.0,975,3,2,6203 Langham St #2, 78741
584,"11910 Farrier Ln, Austin, TX 78748",475000.0,2253,3,4,11910 Farrier Ln, 78748
585,"1308 July Dr, Austin, TX 78753",550000.0,2450,3,3,1308 July Dr, 78753
586,"11504 February Dr, Austin, TX 78753",1350000.0,2450,4,3,11504 February Dr, 78753
587,"12806 Lamppost Ln, Austin, TX 78727",479900.0,1312,2,3,12806 Lamppost Ln, 78727
588,"3304 Oxsheer Dr, Austin, TX 78732",919900.0,3333,3,4,3304 Oxsheer Dr, 78732
590,"2707 Valley Springs Rd, Austin, TX 78746",3250000.0,4320,5,4,2707 Valley Springs Rd, 78746
591,"902 W Village Ln, Austin, TX 78758",375000.0,1137,3,3,902 W Village Ln, 78758
592,"10208 La Costa Dr, Austin, TX 78747",619000.0,2742,3,3,10208 La Costa Dr, 78747
593,"8107 Middle Ct, Austin, TX 78759",699900.0,2097,2,2,8107 Middle Ct, 78759
594,"6820 Kenosha Pass, Austin, TX 78749",965000.0,2219,2,4,6820 Kenosha Pass, 78749
596,"2307 Windsor Rd, Austin, TX 78703",6200000.0,5548,6,4,2307 Windsor Rd, 78703
597,"5616 S 1st St UNIT 33, Austin, TX 78745",599000.0,1844,3,3,5616 S 1st St UNIT 33, 78745
598,"5509 Durango Pass, Austin, TX 78724",556395.0,2440,3,4,5509 Durango Pass, 78724
599,"2107 Nathan Dr, Austin, TX 78728",455000.0,1394,2,3,2107 Nathan Dr, 78728
600,"8133 Ladera Verde Dr, Austin, TX 78739",975000.0,3124,3,4,8133 Ladera Verde Dr, 78739
601,"18104 Painted Horse Cv, Austin, TX 78738",799000.0,2909,3,3,18104 Painted Horse Cv, 78738
602,"13918 Hummingbird Ln, Austin, TX 78732",685000.0,2211,3,3,13918 Hummingbird Ln, 78732
603,"7511 Black Mountain Dr, Austin, TX 78736",820000.0,3299,3,5,7511 Black Mountain Dr, 78736
604,"8011 Orizzonte St, Austin, TX 78744",399900.0,1518,2,2,8011 Orizzonte St, 78744
605,"5908 Aylford Ct, Austin, TX 78739",839000.0,2603,2,4,5908 Aylford Ct, 78739
607,"220 Piedmont Hills Pass, Austin, TX 78732",875000.0,2933,3,4,220 Piedmont Hills Pass, 78732
608,"5729 Brocade Dr, Austin, TX 78724",399000.0,1845,2,4,5729 Brocade Dr, 78724
609,"8405 Twiggy Ln, Austin, TX 78747",415000.0,1420,2,3,8405 Twiggy Ln, 78747
610,"3206 Western Dr, Austin, TX 78745",624999.0,1557,3,3,3206 Western Dr, 78745
611,"14401 Robert I Walker Blvd, Austin, TX 78728",469900.0,1500,3,3,14401 Robert I Walker Blvd, 78728
612,"1505 Newning Ave, Austin, TX 78704",2500000.0,1960,2,3,1505 Newning Ave, 78704
613,"11200 Los Comancheros Rd, Austin, TX 78717",549000.0,2129,3,3,11200 Los Comancheros Rd, 78717
614,"6911 Greenshores Dr, Austin, TX 78730",2850000.0,5236,6,5,6911 Greenshores Dr, 78730
615,"1212 Eleanor St #2, Austin, TX 78721",574900.0,891,2,2,1212 Eleanor St #2, 78721
616,"2307 Tower Dr, Austin, TX 78703",1650000.0,1860,2,3,2307 Tower Dr, 78703
617,"6302 Capriola Dr, Austin, TX 78745",584900.0,1369,2,3,6302 Capriola Dr, 78745
618,"5805 Swayden Ln, Austin, TX 78745",665000.0,2035,3,3,5805 Swayden Ln, 78745
619,"1402 Theodora Cv, Austin, TX 78753",455000.0,1472,2,5,1402 Theodora Cv, 78753
620,"6003 Messenger Stake, Austin, TX 78746",1099000.0,2806,2,3,6003 Messenger Stake, 78746
622,"330 Torrington Dr, Austin, TX 78737",775000.0,3032,4,4,330 Torrington Dr, 78737
623,"1001 Walter St #1, Austin, TX 78702",899000.0,1939,3,3,1001 Walter St #1, 78702
624,"4307 Zuni Dr, Austin, TX 78759",625000.0,1823,2,3,4307 Zuni Dr, 78759
625,"1138 Northwestern Ave, Austin, TX 78702",755000.0,1394,2,4,1138 Northwestern Ave, 78702
627,"12410 Blossomwood Dr, Austin, TX 78727",725000.0,2359,3,4,12410 Blossomwood Dr, 78727
628,"7703 Song Sparrow Dr, Austin, TX 78744",494517.0,2527,4,5,7703 Song Sparrow Dr, 78744
629,"1909 Whitebead Trl, Austin, TX 78734",598000.0,2030,2,3,1909 Whitebead Trl, 78734
630,"13501 Metric Blvd UNIT 27, Austin, TX 78727",569000.0,2242,3,4,13501 Metric Blvd UNIT 27, 78727
631,"8417 Silhouette St, Austin, TX 78744",692000.0,2436,3,4,8417 Silhouette St, 78744
632,"11201 Harlyn Bay Rd, Austin, TX 78754",489000.0,2636,2,3,11201 Harlyn Bay Rd, 78754
633,"3702 Alexandria Dr, Austin, TX 78749",455000.0,1639,2,2,3702 Alexandria Dr, 78749
634,"712 E 44th St APT A, Austin, TX 78751",865000.0,2052,3,4,712 E 44th St APT A, 78751
635,"9106 Balcones Club Dr, Austin, TX 78750",939900.0,2961,3,3,9106 Balcones Club Dr, 78750
636,"7689 Delwau Ln, Austin, TX 78725",799980.0,1500,4,3,7689 Delwau Ln, 78725
637,"11803 Three Oaks Trl, Austin, TX 78759",735000.0,2322,2,4,11803 Three Oaks Trl, 78759
638,"15105 Sun Bird Ln, Austin, TX 78734",539500.0,1661,2,3,15105 Sun Bird Ln, 78734
639,"3403 Cambridge Ct #B, Austin, TX 78723",675000.0,1100,3,2,3403 Cambridge Ct #B, 78723
640,"8101 Bestride Bnd, Austin, TX 78744",690000.0,2809,3,4,8101 Bestride Bnd, 78744
641,"2401 Never Bend Cv, Austin, TX 78746",3895000.0,5405,6,5,2401 Never Bend Cv, 78746
642,"15214 Kevin Ln, Austin, TX 78734",775000.0,2921,2,3,15214 Kevin Ln, 78734
643,"1704 Meander Dr, Austin, TX 78721",495000.0,864,1,3,1704 Meander Dr, 78721
644,"4005 Balcones Dr, Austin, TX 78731",3749950.0,3854,5,4,4005 Balcones Dr, 78731
645,"12904 Stanzel Dr, Austin, TX 78729",675000.0,2383,3,4,12904 Stanzel Dr, 78729
647,"716 Sheraton Ave, Austin, TX 78745",549000.0,1418,2,3,716 Sheraton Ave, 78745
648,"2003 Ohlen Rd, Austin, TX 78757",540000.0,1255,1,3,2003 Ohlen Rd, 78757
649,"6806 Wake Forest Ln, Austin, TX 78723",429900.0,1275,1,3,6806 Wake Forest Ln, 78723
650,"403 Ridgewood Rd, Austin, TX 78746",3949000.0,4171,5,6,403 Ridgewood Rd, 78746
651,"11709 Barrington Way, Austin, TX 78759",625000.0,1449,2,3,11709 Barrington Way, 78759
652,"8001 Borden Springs Ct, Austin, TX 78717",775000.0,3219,4,4,8001 Borden Springs Ct, 78717
653,"4607 Trail West Dr, Austin, TX 78735",925000.0,2196,3,4,4607 Trail West Dr, 78735
654,"1400 Drake Ave, Austin, TX 78704",2600000.0,2456,4,4,1400 Drake Ave, 78704
655,"15215 Thatcher Dr, Austin, TX 78717",950000.0,4019,4,5,15215 Thatcher Dr, 78717
656,"1708 Garden St UNIT 1, Austin, TX 78702",875000.0,1288,2,3,1708 Garden St UNIT 1, 78702
657,"2300 Southern Oaks Dr, Austin, TX 78745",1250000.0,2230,3,4,2300 Southern Oaks Dr, 78745
658,"8221 Phantom Canyon Dr, Austin, TX 78726",949000.0,4189,4,5,8221 Phantom Canyon Dr, 78726
659,"1121 Salem Park Ct, Austin, TX 78745",545000.0,1514,3,3,1121 Salem Park Ct, 78745
660,"1802 Hether St, Austin, TX 78704",3373000.0,3380,5,5,1802 Hether St, 78704
661,"11716 Saddle Rock Dr, Austin, TX 78725",500000.0,2322,3,3,11716 Saddle Rock Dr, 78725
662,"2401 W 12th St, Austin, TX 78703",2195000.0,3289,4,4,2401 W 12th St, 78703
663,"1409 Falconer Way, Austin, TX 78748",449000.0,1910,3,4,1409 Falconer Way, 78748
664,"13401 Bullick Hollow Rd, Austin, TX 78726",5995000.0,6178,5,7,13401 Bullick Hollow Rd, 78726
665,"5000 Savorey Ln, Austin, TX 78744",335859.0,907,1,2,5000 Savorey Ln, 78744
666,"8507 Chalk Knoll Dr, Austin, TX 78735",3795000.0,6603,6,5,8507 Chalk Knoll Dr, 78735
667,"1600 Susan Dr, Austin, TX 78734",890000.0,3183,3,3,1600 Susan Dr, 78734
668,"7810 Libretto Ln, Austin, TX 78744",514442.0,3125,3,4,7810 Libretto Ln, 78744
669,"708 E 47th St UNIT B, Austin, TX 78751",912000.0,1928,3,3,708 E 47th St UNIT B, 78751
670,"12800 Partridge Bend Dr, Austin, TX 78729",595000.0,2285,3,4,12800 Partridge Bend Dr, 78729
672,"4901 Bandera Rd, Austin, TX 78721",550000.0,1689,2,4,4901 Bandera Rd, 78721
673,"11601 Barchetta Dr, Austin, TX 78758",499900.0,1836,2,3,11601 Barchetta Dr, 78758
675,"7021 Van Buren Ln, Austin, TX 78724",534920.0,2081,3,4,7021 Van Buren Ln, 78724
676,"10729 Canfield Dr, Austin, TX 78739",2175000.0,5009,5,5,10729 Canfield Dr, 78739
677,"4904 Louis Ave, Austin, TX 78721",485000.0,834,1,2,4904 Louis Ave, 78721
678,"12513 Morelia Way, Austin, TX 78748",749900.0,4033,5,5,12513 Morelia Way, 78748
679,"6303 Clubway Ln, Austin, TX 78745",479500.0,1770,2,4,6303 Clubway Ln, 78745
720,"2813 Sissinghurst Dr, Austin, TX 78745",515000.0,1681,3,3,2813 Sissinghurst Dr, 78745
721,"616 W Monroe St, Austin, TX 78704",3200000.0,5131,6,6,616 W Monroe St, 78704
722,"3209 E 16th St, Austin, TX 78721",350000.0,792,1,3,3209 E 16th St, 78721
723,"3209 Lynnbrook Dr, Austin, TX 78748",588500.0,2334,2,4,3209 Lynnbrook Dr, 78748
724,"7013 Loretta White Ln, Austin, TX 78744",429500.0,1512,2,3,7013 Loretta White Ln, 78744
725,"2422 S 6th St, Austin, TX 78704",2590000.0,2810,4,3,2422 S 6th St, 78704
726,"2301 W 10th St, Austin, TX 78703",1190000.0,1776,3,4,2301 W 10th St, 78703
727,"1304 Tetbury Ln, Austin, TX 78748",475000.0,2194,3,3,1304 Tetbury Ln, 78748
728,"5011 Balcones Dr UNIT D, Austin, TX 78731",1100000.0,2544,4,4,5011 Balcones Dr UNIT D, 78731
730,"6508 Garden Rose Path, Austin, TX 78754",389999.0,1788,3,3,6508 Garden Rose Path, 78754
731,"10602 Skyflower Dr, Austin, TX 78759",1275000.0,3325,4,4,10602 Skyflower Dr, 78759
732,"11901 Swearingen Dr APT 33F, Austin, TX 78758",350000.0,1042,3,2,11901 Swearingen Dr APT 33F, 78758
733,"1103 Cadence Dr, Pflugerville, TX 78660",535000.0,2994,3,4,1103 Cadence Dr, 78660
734,"6710 Stonleigh Pl, Austin, TX 78744",375000.0,1516,1,4,6710 Stonleigh Pl, 78744
735,"6846 Thistle Hill Way, Austin, TX 78754",525000.0,2643,3,5,6846 Thistle Hill Way, 78754
736,"11404 Archstone Dr, Austin, TX 78739",1185000.0,3435,4,4,11404 Archstone Dr, 78739
737,"2819 Nordham Dr, Austin, TX 78745",637000.0,1517,2,3,2819 Nordham Dr, 78745
738,"601 Westmorland Dr, Austin, TX 78745",499000.0,992,2,3,601 Westmorland Dr, 78745
739,"11312 Hollister Dr, Austin, TX 78739",1150000.0,3326,3,4,11312 Hollister Dr, 78739
740,"7801 House Finch Dr, Austin, TX 78744",467882.0,2458,4,4,7801 House Finch Dr, 78744
741,"701 W Caddo St, Austin, TX 78753",523999.0,1540,2,3,701 W Caddo St, 78753
742,"5516 Loma Alta Dr, Austin, TX 78744",465000.0,2068,3,4,5516 Loma Alta Dr, 78744
743,"1205 Echo Ln, Austin, TX 78745",575000.0,1897,2,4,1205 Echo Ln, 78745
744,"2109 Thornton Rd UNIT A, Austin, TX 78704",965000.0,2067,3,3,2109 Thornton Rd UNIT A, 78704
